http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6010838A&q=1&yr=2010,"Department of Finance Canada","Andrew Kalotay",6010838A,2008-01-25,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2008-01-25 to 2011-03-31",,379937.25,"This contract includes one or more amendments. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=7004378&q=1&yr=2010,"Department of Finance Canada","API (ALLIANCE PERSONNEL INC.)",7004378,2009-03-09,"813 TEMPORARY HELP SERVICES","2009-03-09 to 2010-09-03",,66649.30,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000009&q=1&yr=2010,"Department of Finance Canada",MANPOWER,4000009,2009-07-14,"813 TEMPORARY HELP SERVICES","2009-07-14 to 2010-08-06",,63134.27,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000008&q=1&yr=2010,"Department of Finance Canada","ARTEMP PERSONNEL SERVICES INC.",4000008,2009-07-14,"813 TEMPORARY HELP SERVICES","2009-07-14 to 2010-10-29",,108816.75,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000052&q=1&yr=2010,"Department of Finance Canada","Personnel Outaouais Inc.",4000052,2009-11-02,"813 TEMPORARY HELP SERVICES","2009-11-02 to 2010-09-30",,48691.13,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000079&q=1&yr=2010,"Department of Finance Canada","Altis Human Resources",4000079,2009-12-29,"813 TEMPORARY HELP SERVICES","2009-12-29 to 2010-09-30",,56404.69,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000081&q=1&yr=2010,"Department of Finance Canada","APS-Antian Professional Services",4000081,2010-01-04,"813 TEMPORARY HELP SERVICES","2010-01-04 to 2010-09-30",,58849.88,"This contract includes one or more amendents. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=4000116&q=1&yr=2010,"Department of Finance Canada","EXCEL HUMAN RESOURCES",4000116,2010-03-01,"813 TEMPORARY HELP SERVICES","2010-03-01 to 2011-01-03",,53172.00,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8024987&q=1&yr=2010,"Department of Finance Canada","ROBERTSON &amp; COMPANY LTD.",8024987,2010-03-19,"472 INFORMATION TECHNOLOGY CONSULTANTS","2010-03-19 to 2010-08-31",,21168.00,"This contract includes one or more amendments. This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8024864&q=1&yr=2010,"Department of Finance Canada","XEROX CANADA LTD.",8024864,2010-04-01,"533 RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","2010-04-01 to 2015-03-31",,36427.80,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced. This contract is a multi-year contract."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014220&q=1&yr=2010,"Department of Finance Canada","COLLECTIVE MEDIA",6014220,2010-04-01,"351 COMMUNICATIONS PROFESSIONAL SERVICES","2010-04-01 to 2011-03-31",,15120.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014239&q=1&yr=2010,"Department of Finance Canada",Geolithum,6014239,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,10000.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014242&q=1&yr=2010,"Department of Finance Canada","MS VANESSA NOVINI",6014242,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,10000.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014240&q=1&yr=2010,"Department of Finance Canada","Marco Saucier",6014240,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,10000.00,"This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014241&q=1&yr=2010,"Department of Finance Canada","Strategies Gestion sur Mesure Inc.",6014241,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,10000.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014233&q=1&yr=2010,"Department of Finance Canada","Burke Cader Media Strategies Inc.",6014233,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,22050.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014046&q=1&yr=2010,"Department of Finance Canada","INDEPENDENT LINEN SERVICE",6014046,2010-04-01,"859 OTHER BUSINESS SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,10000.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8024817&q=1&yr=2010,"Department of Finance Canada","XEROX CANADA LTD.",8024817,2010-04-01,"533 RENTAL OF MACHINERY OFFICE FURNITURE AND FIXTURES","2010-04-01 to 2013-03-31",,18708.12,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced. This contract is a multi-year contract."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8024771&q=1&yr=2010,"Department of Finance Canada","CONFERENCE BOARD OF CANADA",8024771,2010-04-01,"812 COMPUTER SERVICES","2010-04-01 to 2011-03-31",,10670.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8025073&q=1&yr=2010,"Department of Finance Canada","CONFERENCE BOARD OF CANADA",8025073,2010-04-01,"812 COMPUTER SERVICES","2010-04-01 to 2011-03-31",,89110.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014214&q=1&yr=2010,"Department of Finance Canada","JAMES POWELL",6014214,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2010-06-30",,25000.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014201&q=1&yr=2010,"Department of Finance Canada","CHRISTOPHER C. NICHOLLS",6014201,2010-04-01,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-01 to 2011-03-31",,24525.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014195&q=1&yr=2010,"Department of Finance Canada","CENTRE DE FORMATION CARON LT&Eacute;E",6014195,2010-04-01,"447 TUITION FEES AND COSTS OF ATTENDING COURSES","2010-04-01 to 2010-12-10",,13608.00,"This contract was sole-sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=600749250A&q=1&yr=2010,"Department of Finance Canada",Britton&#39;s,600749250A,2010-04-01,"1143 PRINTED MATTER",,2010-04-01,75356.42,"This contract was awarded by Public Works and Government Services Canada. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=8025077&q=1&yr=2010,"Department of Finance Canada","CONFERENCE BOARD OF CANADA",8025077,2010-04-01,"812 COMPUTER SERVICES","2010-04-01 to 2011-03-31",,38875.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.fin.gc.ca/scripts/contracts-contrats/reports-rapports-eng.asp?r=c&refNum=6014207&q=1&yr=2010,"Department of Finance Canada","JOHN JOSEPH DIERKER",6014207,2010-04-12,"499 OTHER PROFESSIONAL SERVICES NOT ELSEWHERE SPECIFIED","2010-04-12 to 2010-12-31",,22900.00,"This contract includes one or more amendments. This contract was sole-sourced."
