http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=418,"Elections Canada","LEFEBVRE, ANNIE",4-4135,2004-10-01,"0859 &ndash; Other Business Services Not Elsewhere Specified","2004-08-09 to 2005-02-04",,32699.20,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=420,"Elections Canada",SMURFIT-MBI,4-4181,2004-10-07,"0321 &ndash; Printing Services","2004-09-30 to 2004-11-12",,175801.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=421,"Elections Canada","DESAULNIERS, JOCELYNE",4-4182,2004-10-05,"0491 &ndash; Management Consulting","2004-10-01 to 2004-12-31",,24824.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=422,"Elections Canada","DATAMARK SYSTEMS",4-4183,2004-10-31,"0321 &ndash; Printing Services","2004-09-23 to 2006-03-31",,297724.29,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=423,"Elections Canada","ANIXTER CANADA INC.",4-4188,2004-10-14,"1179 &ndash; Miscellaneous Manufactured Articles","2004-08-13 to 2004-10-29",,222047.68,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=424,"Elections Canada","KAICE-TEC REPRODUCTION LTD.",4-4189,2004-10-06,"0321 &ndash; Printing Services","2004-09-09 to 2004-11-05",,44405.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=425,"Elections Canada","ELISABETH MACFIE EDITING",4-4191,2004-10-01,"0351 &ndash; Communications Professional Services Not Elsewhere Specified","2004-09-27 to 2004-10-19",,11181.50,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=426,"Elections Canada",PUBLITEK,4-4192,2004-10-29,"0499 &ndash; Other Professional Services Not Elsewhere Specified","2004-12-01 to 2005-12-31",,72225.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=427,"Elections Canada","IT NET",4-4194,2004-10-07,"0472 &ndash; Information Technology Consultants","2004-10-12 to 2005-03-31",,86028.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=428,"Elections Canada","SIRIUS CONSULTING GROUP INC.",4-4196,2004-10-06,"0472 &ndash; Information Technology Consultants","2004-10-06 to 2004-12-31",,14980.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=429,"Elections Canada","HEALEY DISC MANUFACTURING",4-4198,2004-10-07,"0321 &ndash; Printing Services","2004-10-07 to 2004-12-31",,10260.23,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=430,"Elections Canada","GROUP NINE DISTRIBUTION",4-4215,2004-10-14,"1179 &ndash; Miscellaneous Manufactured Articles","2004-10-14 to 2004-11-15",,24396.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=431,"Elections Canada","EXCEL HUMAN RESOURCES",4-4216,2004-10-14,"0472 &ndash; Information Technology Consultants","2004-10-12 to 2005-03-31",,51236.95,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=432,"Elections Canada","TRI-CO PRINTING INC.",4-4217,2004-10-19,"0321 &ndash; Printing Services","2004-11-12 to 2004-12-31",,14445.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=433,"Elections Canada","GLENWOOD LABEL AND BOX",4-4226,2004-10-15,"0321 &ndash; Printing Services","2004-10-15 to 2004-11-09",,16692.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=434,"Elections Canada","BUSINESS STATIONERS",4-4228,2004-10-15,"0321 &ndash; Printing Services","2004-10-15 to 2004-11-15",,16050.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=435,"Elections Canada","PORTAGE PERSONNEL INC.",4-4230,2004-10-15,"0813 &ndash; Temporary Help Services","2004-10-18 to 2005-02-25",,11416.90,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=436,"Elections Canada","HUNT TEMPORARILY YOURS",4-4231,2004-10-15,"0813 &ndash; Temporary Help Services","2004-10-18 to 2004-12-31",,11577.27,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=437,"Elections Canada","LOWE-MARTIN GROUP INC.",4-4232,2004-10-15,"0321 &ndash; Printing Services","2004-10-15 to 2005-03-31",,21271.60,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=438,"Elections Canada","INTELEC GEOMATIQUE INC.",4-4233,2004-10-18,"0472 &ndash; Information Technology Consultants","2004-10-19 to 2005-03-31",,70620.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=439,"Elections Canada","CREMER, PIERRE",4-4242,2004-10-20,"0351 &ndash; Communications Professional Services Not Elsewhere Specified","2004-10-01 to 2004-12-31",,13321.50,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=440,"Elections Canada","DATA GROUP OF COMPANIES, THE",4-4243,2004-10-20,"0321 &ndash; Printing Services","2004-10-18 to 2004-10-22",,31827.15,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=441,"Elections Canada","CREMER, PIERRE",4-4244,2004-10-20,"0351 &ndash; Communications Professional Services Not Elsewhere Specified","2004-10-01 to 2004-12-31",,10673.25,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=442,"Elections Canada","LOWE-MARTIN GROUP INC.",4-4253,2004-10-21,"0321 &ndash; Printing Services","2004-10-21 to 2005-03-31",,11565.63,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=443,"Elections Canada","LOWE-MARTIN GROUP INC.",4-4254,2004-10-21,"0321 &ndash; Printing Services","2004-10-21 to 2005-03-31",,12727.65,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=444,"Elections Canada","DER GRAPHICS",4-4263,2004-10-21,"1179 &ndash; Miscellaneous Manufactured Articles","2004-10-21 to 2004-11-30",,29746.00,
http://www.elections.ca/contracts/default.asp?textonly=false&lang=e&action=view&year=2004&quarter=3&id=445,"Elections Canada","HPH CONSULTING SERVICES INC.",4-4265,2004-10-27,"0491 &ndash; Management Consulting","2004-10-22 to 2005-03-31",,24877.50,
