http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=353,"National Round Table on the Environment and the Economy","Trait d&#39;Union",NRT-2011070,2011-07-08,"0351 - Communications Professional Services not Elsewhere Specified","2011-06-06 to 2012-03-31",,10859.30,"To assist NRTEE staff in the internal adoption of the new corporate brand&#39;s identity."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=346,"National Round Table on the Environment and the Economy","Carbure Web Creatif",NRT-2011047,2011-06-15,"0351 - Communications Professional Services not Elsewhere Specified","2011-06-15 to 2011-10-15",,32695.42,"To redesign and implement the NRTEE&#39;s website."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=350,"National Round Table on the Environment and the Economy","Xquisit Communications Inc.",NRT-2011066,2011-06-14,"0351 - Communications Professional Services not Elsewhere Specified","2011-06-11 to 2011-09-30",,26406.41,"To provide design and layout services for the NRTEE corporate brochure, corporate toolbox and templates."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=352,"National Round Table on the Environment and the Economy","Andrew Leach",NRT-2011069,2011-05-31,"0491 - Management consulting","2011-06-01 to 2011-07-29",,21000.00,"To assist the NRTEE in the analysis and writing of its report to the Minister of the Environment concerning Bill C-288 (Kyoto Protocol Implementation Act) - NRTEE&#39;s required response to the Act."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=351,"National Round Table on the Environment and the Economy","Sky Curve Consulting",NRT-2011067,2011-05-27,"0491 - Management consulting","2011-05-30 to 2011-07-28",,22769.50,"To provide project management support and analysis for the delivery of NRTEE&#39;s KPIA Response 2011."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=349,"National Round Table on the Environment and the Economy","Lec!erc - communicateur-conseil",NRT-2011057,2011-05-09,"0351 - Communications Professional Services not Elsewhere Specified","2011-05-10 to 2011-09-15",,24374.00,"To develop a vision and strategy for the NRTEE&#39;s &quot;new look&quot; website as well as to provide guidance and advice."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=348,"National Round Table on the Environment and the Economy","The Conference Publishers",NRT-2011053,2011-05-05,"0351 Communications professional services not elsewhere specified","2011-05-09 to 2012-03-31",,38420.00,"To provide professional notetaking services for all NRTEE&#39;s meetings held outisde the NCR for FY 2011-2012."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=347,"National Round Table on the Environment and the Economy","James Wellstead",NRT-2011050,2011-04-18,"0491 - Management consulting","2011-04-18 to 2011-06-30",,10000.00,"To complete backround research and analysis pertaining to the policy pathways for adaptation report under the Climate Prosperity program."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=345,"National Round Table on the Environment and the Economy","Stratos Inc.",NRT-2011046,2011-04-08,"0491 - Management consulting","2011-04-11 to 2011-05-13",,11215.34,"To prepare a report listing existing voluntary initiatives adopted by the natural resource sectors of Canada describing their role in improving environmental performance with respect to water efficiency."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=336,"National Round Table on the Environment and the Economy","Brooke-D&eacute;lisle Inc.",NRT-2011002,2011-03-28,"0494 - Translation Services","2011-04-01 to 2012-03-31",,67800.00,"To provide translation services to assist in the production of NRTEE reports and documents."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=337,"National Round Table on the Environment and the Economy","Jeannot Trudel",NRT-2011003,2011-03-28,"0494 - Translation Services","2011-04-01 to 2012-03-31",,67800.00,"To provide translation services to assist in the production of NRTEE reports and documents."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=338,"National Round Table on the Environment and the Economy","Caron-Masse Translators",NRT-2011004,2011-03-28,"0494 - Translation Services","2011-04-01 to 2012-03-31",,67800.00,"To provide translation services to assist in the production of NRTEE reports and documents."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=339,"National Round Table on the Environment and the Economy","Soci&eacute;t&eacute; Gamma Inc.",NRT-2011005,2011-03-28,"0494 - Translation Services","2011-04-01 to 2012-03-31",,67800.00,"To provide translation services to assist in the production of NRTEE reports and documents."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=341,"National Round Table on the Environment and the Economy","FreeBalance Inc.",CNRT-2011020,2011-03-28,"1228 - Computer Software","2011-04-01 to 2012-03-31",,16961.30,"Standing Offer Call-up: Licensed software for Financial System."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=343,"National Round Table on the Environment and the Economy","Ubiquitext Communications",NRT-2011017,2011-03-28,"0351 Communications professional services not elsewhere specified","2011-04-07 to 2012-03-31",,15820.00,"To provide professional notetaking services for all NRTEE&#39;s meetings held in the NCR for FY 2011-2012."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=344,"National Round Table on the Environment and the Economy","Ubiquitext Communications",NRT-2011018,2011-03-24,"0351 Communications professional services not elsewhere specified","2011-04-01 to 2012-03-31",,22600.00,"To provide specialized professional notetaking services to produce NRTEE&#39;s Plenary Summary Reports."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=342,"National Round Table on the Environment and the Economy","Ubiquitext Communications",NRT-2011016,2011-03-22,"0351- Communications Professional Services","2011-04-01 to 2012-03-31",,18080.00,"To provide services of an editor and occasional translator in both official languages to assist in the production of NRTEE reports and documents."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2011-2012-Contracts/2011-2012-1/2011-2012-ContractDetails-1-eng.cfm?ID=340,"National Round Table on the Environment and the Economy","Microsoft :Insight Software Canada Inc.",CNRT-2011008,2011-02-18,"1228 - Computer Software","2011-04-01 to 2012-03-31",,19046.15,"Use of Standing Offer: To purchase Mselect Software."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=335,"National Round Table on the Environment and the Economy","lec!erc - communicateur-conseil",NRT-2010114,2011-03-07,"0351 - Communications Professional Services not Elsewhere Specified","2011-03-07 to 2011-04-15",,10000.00,"To prepare a social media strategic assessment for the NRTEE."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=334,"National Round Table on the Environment and the Economy","Analytica Advisors",NRT-2010108,2011-03-03,"0491 - Management consulting","2011-03-03 to 2011-03-31",,11300.00,"To document the &#39;state of play&#39; in Canada for technology SMEs offering low-carbon goods and services."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=333,"National Round Table on the Environment and the Economy","International Institute for Sustainable Development",NRT-2010097,2011-02-23,"0491 - Management consulting","2011-02-23 to 2011-03-30",,11286.44,"To prepare a review of the &#39;state of play&#39; in governance for low-carbon growth in Canada and extract emerging lessons."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=332,"National Round Table on the Environment and the Economy","Stiebert Consulting",NRT-2010096,2011-02-14,"0491 - Management consulting","2011-02-14 to 2011-03-31",,14690.00,"To do the research required in developing a new, updated reference case for Canadian GHG emissions moving forward by providing a forecast of GHG emissions to 2050 based on existing policies currently in place."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=331,"National Round Table on the Environment and the Economy","Dell Canada",CNRT-2010095,2011-02-10,"1227 - Computer equipment - small-desktop/ personal/portable/keyboard","2011-02-10 to 2011-02-18",,10867.66,"Standing Offer Call-up: Laptop life cycle management."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=326,"National Round Table on the Environment and the Economy","Parall&egrave;le Brand Management",NRT-2010084,2011-02-10,"0351 - Communications Professional Services not Elsewhere Specified","2011-02-10 to 2011-03-31",,40000.00,"To design illustrative representations of the unique NRTEE convening and research process in order to enhence NRTEE communications."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=330,"National Round Table on the Environment and the Economy","The Conference Board of Canada",NRT-2010094,2011-02-07,"0491 - Management consulting","2011-02-07 to 2011-03-31",,24855.00,"To prepare a report that will identify the current &#39;state of play&#39; of innovation and investment in Canada related to low-carbon goods and services, and for articulating potential policy approaches for Canada moving forward."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=329,"National Round Table on the Environment and the Economy","Deloitte &amp; Touche LLP",NRT-2010092,2011-01-31,"0491 - Management consulting","2011-01-31 to 2011-03-30",,24903.79,"To analyse and give expert advice in order to inform the development of NRTEE&#39;s report on policy pathways toward a climate resilient Canada."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=328,"National Round Table on the Environment and the Economy","The Delphi Group",NRT-2010086,2011-01-28,"0491 - Management consulting","2011-01-28 to 2011-04-15",,38137.50,"To prepare a report that will show the quantification of low-carbon opportunities for Canada."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=327,"National Round Table on the Environment and the Economy","Marbek Resource Consultants Ltd.",NRT-2010085,2011-01-02,"0491 - Management consulting","2011-01-02 to 2011-03-14",,15502.47,"To prepare a report that will augment and update the morbidity estimates in the report &quot;Costing Climate Impacts and Adaptation: A Canadian Study on Human Health&quot;, so as to express climate change-induced economic impacts of morbidity cases for the four cities, timeslices, and combinations of scenarios in terms of health care costs."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-4/2010-2011-ContractDetails-4-eng.cfm?ID=325,"National Round Table on the Environment and the Economy","Dell Canada",CNRT-2010067,2010-10-13,"1227 - Computer equipment - small-desktop/ personal/portable/keyboard","2010-10-13 to 2010-10-29",,10509.00,"Standing Offer Call-up: Life cycle management."
http://www.nrtee-trnee.ca/eng/about-us/proactive-disclosure/contracts/2010-2011-Contracts/2010-2011-3/2010-2011-ContractDetails-3-eng.cfm?ID=322,"National Round Table on the Environment and the Economy","Dr. Karen Bakker",NRT-2010083,2010-12-23,"0491 - Management consulting","2011-01-04 to 2011-03-31",,25000.00,"To undertake an analysis of practical issues faced by the natural resource sectors and governments in the implementation of water governance models, with an emphasis on watershed-based collaborative governance."
