http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19948&Quarter=20092,"Privy Council Office",MAXSYS,40034-09,2009-09-29,"0813                   Temporary Help Services","2009-09-30 to 2010-02-05",,12223.26,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19951&Quarter=20092,"Privy Council Office","CTC TRAINCANADA",50011-09,2009-09-29,"0446                   Training Consultants","2009-09-29 to 2010-09-28",,34650.00,"This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19977&Quarter=20092,"Privy Council Office","BURNTEDGE INCORPORATED",50128-09,2009-09-28,"0351                   Communications Professional Services not Elsewhere Specified","2009-09-28 to 2009-11-01",,13650.00,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19931&Quarter=20092,"Privy Council Office","CANON CANADA INC",10097-09,2009-09-24,"0533                   Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2009-10-01 to 2014-09-30",,15813.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract is a multi-year contract."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19944&Quarter=20092,"Privy Council Office",CEDROM-SNI,3503596188,2009-09-24,"0226                   Data Communications Services (Including All Non-voice Telecommunications Services)","2009-10-01 to 2010-09-30",,24815.70,"This contract was issued by Public Works and Government Services Canada. This contract was sole-sourced.  This contract is a multi-year contract."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19929&Quarter=20092,"Privy Council Office","RICOH CANADA INC",10094-09,2009-09-23,"0533                   Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2009-09-01 to 2014-08-31",,16168.95,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract is a multi-year contract."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19930&Quarter=20092,"Privy Council Office","XEROX CANADA LTD",10095-09,2009-09-23,"0533                   Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2009-10-01 to 2014-09-30",,10804.50,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract is a multi-year contract."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19993&Quarter=20092,"Privy Council Office","TEKNION ROY AND BRETON INC.",60200-09,2009-09-23,"1231                   Office Furniture and Furnishings, Including Parts","2009-09-24 to 2009-10-29",,44834.83,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19934&Quarter=20092,"Privy Council Office","GLOBAL UPHOLSTERY CO. INC",30110-09X,2009-09-22,"1231                   Office Furniture and Furnishings, Including Parts","2009-09-22 to 2009-10-17",,13188.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19995&Quarter=20092,"Privy Council Office","DELL CANADA INC",60204-09,2009-09-18,"1228                   Software","2009-09-18 to 2009-10-30",,14385.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19994&Quarter=20092,"Privy Council Office","CANADIAN AMERICAN BUSINESS COUNCIL",60203-09,2009-09-17,"0522                   Rental of Image/Video Communications Equipment","2009-09-17 to 2009-09-17",,12248.71,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19941&Quarter=20092,"Privy Council Office","ARI FLEISCHER COMMUNICATIONS, INC",50088-09,2009-09-17,"0499                   Other Professional Services not Elsewhere Specified","2009-04-15 to 2009-05-15",,24500.00,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19992&Quarter=20092,"Privy Council Office",TERAMACH,60197-09,2009-09-16,"1227                   Computer Equipment - Small - Desktop/Personal/Portable/Keyboard","2009-09-17 to 2009-10-28",,12015.05,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19964&Quarter=20092,"Privy Council Office","PUBLIC STRATEGIES WASHINGTON",50089-09,2009-09-15,"0499                   Other Professional Services not Elsewhere Specified","2009-04-10 to 2009-05-10",,24000.00,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19952&Quarter=20092,"Privy Council Office","MIGEOTTE &amp; MIGEOTTE",50020-09,2009-09-15,"0494                   Translation Services","2008-10-21 to 2009-03-31",,24972.15,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19976&Quarter=20092,"Privy Council Office","INTERIS CONSULTING INC.",50121-09,2009-09-14,"0499                   Other Professional Services not Elsewhere Specified","2009-09-14 to 2009-12-31",,24727.50,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19975&Quarter=20092,"Privy Council Office","PETER CALAMAI",50116-09,2009-09-10,"0492                   Research Contracts","2009-09-10 to 2009-11-30",,33075.00,"This contract was sole-sourced"
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19988&Quarter=20092,"Privy Council Office","DELL CANADA INC",60175-09,2009-09-04,"1228                   Software","2009-09-04 to 2009-10-14",,11909.10,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19991&Quarter=20092,"Privy Council Office","DELL CANADA INC",60191-09,2009-09-04,"1228                   Software","2009-09-04 to 2009-10-14",,17425.80,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19946&Quarter=20092,"Privy Council Office","C.L.A. PERSONNEL",40023-09,2009-09-04,"0813                   Temporary Help Services","2009-09-08 to 2010-01-22",,26301.08,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19933&Quarter=20092,"Privy Council Office",KEILHAUER,30098-09,2009-09-04,"1231                   Office Furniture and Furnishings, Including Parts","2009-09-04 to 2009-10-01",,22868.66,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19990&Quarter=20092,"Privy Council Office","FREEBALANCE INC",60186-09,2009-09-03,"0670                   Computer Equipment - Hardware and Software","2009-03-27 to 2010-03-31",,14175.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19974&Quarter=20092,"Privy Council Office","CSP CONSULTANT EN SECURITE INC",50115-09,2009-09-02,"0460                   Protection Services","2009-09-02 to 2009-10-30",,24506.75,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19969&Quarter=20092,"Privy Council Office","UNIVERSITY OF OTTAWA",50102-09,2009-08-28,"0447                   Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2009-09-04 to 2010-02-09",,10710.00,"This contract was sole-sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19996&Quarter=20092,"Privy Council Office","GILMORE REPRODUCTIONS",90054-09,2009-08-28,"0321                   Printing Services","2009-08-28 to 2009-09-16",,13180.65,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19947&Quarter=20092,"Privy Council Office","SPIRIT STAFFING",40025-09,2009-08-28,"0813                   Temporary Help Services","2009-09-09 to 2009-12-18",,25347.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool. This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19943&Quarter=20092,"Privy Council Office","DECIMA RESEARCH INC",3503595114,2009-08-27,"0341                   Communications Research Services","2009-08-27 to 2009-10-15",,66381.19,"This contract was issued by Public Works and Government Services Canada. This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19986&Quarter=20092,"Privy Council Office","WESCO DISTRIBUTION-CANADA INC",60172-09,2009-08-26,"1224                   Digital Communications Equipment for Integrated Voice, Data (Message/Text and Computer) or Image/Video Communications","2009-08-26 to 2009-09-30",,10613.60,"This contract was competitively sourced."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19989&Quarter=20092,"Privy Council Office","DELL CANADA INC",60176-09,2009-08-26,"1228                   Software","2009-08-26 to 2009-09-30",,22470.00,"This contract is a call-up against a Public Works and Government Services Canada procurement tool."
http://www.pco-bcp.gc.ca/dc/Contracts_Contract_Details.asp?lang=eng&UniqueID=19968&Quarter=20092,"Privy Council Office","VERONIQUE DEWEZ",50100-09,2009-08-26,"0351                   Communications Professional Services not Elsewhere Specified","2009-09-01 to 2009-12-31",,10500.00,"This contract was sole-sourced."
