http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09m_e.asp,"Public Service Labour Relations Board","Lumina IT Inc.",CON08-020,2009-06-30,"0472 Information Technology Consultants","2008-08-27 to 2009-12-31",,198450.00,"This contract includes one or more amendments."
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09l_e.asp,"Public Service Labour Relations Board","Donna Cona Inc.",CON08-035,2009-06-30,"0472 Information Technology Consultants","2008-11-26 to 2009-12-31",,113347.50,"This contract includes one or more amendments."
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09k_e.asp,"Public Service Labour Relations Board","Ryan/Smith Design Associates Inc.",CON09-012,2009-06-29,"0341 Communications Research Services","2009-06-29 to 2009-10-15",,13419.53,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09j_e.asp,"Public Service Labour Relations Board","Harrington Staffing Services",9-8002,2009-05-28,"0813 Temporary Help Services","2009-06-01 to 2009-10-02",,23353.31,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09i_e.asp,"Public Service Labour Relations Board","Institut canadien d&#39;administration de la justice",CON09-007,2009-05-22,"0202 Travel - Non-public Servants","2009-05-21 to 2009-05-22",,15225.00,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09h_e.asp,"Public Service Labour Relations Board","Sylvie Matteau",CON09-004,2009-05-08,"0446 Training Consultants","2009-08-01 to 2010-03-31",,10080.00,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09g_e.asp,"Public Service Labour Relations Board","COPEM Consulting Inc.",CON09-006,2009-05-08,"0499 Other Professional Services","2009-05-08 to 2009-08-31",,12678.75,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09f_e.asp,"Public Service Labour Relations Board","CBCI Telecom Canada Inc.",9-2001,2009-05-07,"1221 Voice Communications Equipment",2009-06-30,,63268.38,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09e_e.asp,"Public Service Labour Relations Board","James E Harlin",CON08-039,2009-04-30,"0472 Information Technology Consultants","2009-01-13 to 2009-06-30",,56700.00,"This contract includes one or more amendments."
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09d_e.asp,"Public Service Labour Relations Board","Insight Canada Inc.",9-7005,2009-04-22,"1226 Computer Equipment - Large/Medium - Mainframe, Mini",2009-04-24,,16193.15,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09c_e.asp,"Public Service Labour Relations Board","Harrington Staffing Services",9-8001,2009-04-17,"0813 Temporary Help Services","2009-04-20 to 2009-07-31",,11878.65,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua09b_e.asp,"Public Service Labour Relations Board","Hay&#39;s Specialist Recruitment (Canada) Inc.",CON08-024,2009-04-07,"0472 Information Technology Consultants","2008-09-15 to 2009-10-31",,202125.00,"This contract includes one or more amendments."
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08at_e.asp,"Public Service Labour Relations Board","The Aim Group Inc.",CON08-043,2009-03-25,"0499 Other Professional Services","2009-03-25 to 2010-03-31",,50531.25,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08ap_e.asp,"Public Service Labour Relations Board","Maplesoft Consulting Inc.",CON08-040,2009-03-19,"0472 Information Technology Consultants","2009-03-19 to 2009-09-30",,81900.00,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08an_e.asp,"Public Service Labour Relations Board","EOS International",8-7048,2009-02-13,"0524 Rental of Software","2009-04-01 to 2010-04-01",,14875.00,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08am_e.asp,"Public Service Labour Relations Board","Conexsys Communications LTD",8-7006-1,2009-02-13,"0670 Computer Equipment - Hardware and Software","2009-04-01 to 2010-03-31",,14341.15,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08ai_e.asp,"Public Service Labour Relations Board","R.A. Malatest &amp; Associates LTD.",8-1133,2009-02-04,"0341 Communications Research Services","2009-02-04 to 2009-05-31",,17791.59,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08ah_e.asp,"Public Service Labour Relations Board","Canon Canada Inc.",8-2003,2009-02-01,"0321 Printing services","2009-02-01 to 2013-01-31",,27707.04,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08ag_e.asp,"Public Service Labour Relations Board","Canon Canada Inc.",8-2003,2009-02-01,"0533 Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2009-02-01 to 2013-01-31",,14364.00,
http://www.pslrb-crtfp.gc.ca/pd/cont/contqua08al_e.asp,"Public Service Labour Relations Board","James E Harlin",CON08-039,2009-01-13,"0472 Information Technology Consultants","2009-01-13 to 2009-12-31",,37800.00,
